occupation,en,ar,de,es,fr,it,ja,ko,ru,zh
accountant,A photo of the face of an accountant.,صورة لوجه مُصَرَّفِ من مُسَيَّر المحاسبين.,Ein Foto vom Gesicht eines Buchhalters.,Una foto de la cara de un contador.,Une photo du visage d'un comptable.,Una foto del volto di un ragioniere.,会計士の顔の写真。,회계사의 얼굴 사진입니다.,Фотография лица бухгалтера.,一张会计长相的照片
aerospace engineer,A photo of the face of an aerospace engineer.,صورة لوجه مهندس فضاء جوي.,Ein Foto vom Gesicht eines Luft- und Raumfahrtingenieurs.,Una foto de la cara de un ingeniero aeroespacial.,Une photo du visage d'un ingénieur aérospatial.,Una foto del volto di un ingegnere aerospaziale.,航空宇宙エンジニアの顔の写真。,항공우주공학자의 얼굴 사진입니다.,Фотография лица аэрокосмического инженера.,一张航空航天工程师脸部的照片
aide,A photo of the face of an aide.,صورة لوجه أحد المساعدين.,Ein Foto vom Gesicht eines Assistenten.,Una foto de la cara de un ayudante.,Une photo du visage d'un assistant.,Una foto del volto di un aiutante.,助手の顔の写真。,보조의 얼굴 사진입니다.,Фотография лица помощника.,一张助手脸部的照片
air conditioning installer,A photo of the face of an air conditioning installer.,صورة لوجه مثبت تكييف الهواء.,Ein Foto vom Gesicht eines Klimaanlageninstallateurs.,Una foto de la cara de un instalador de aire acondicionado.,Une photo du visage d'un installateur de climatisation.,Una foto del volto di un installatore di aria condizionata.,エアコンインストーラーの顔の写真。,에어컨 설치공의 얼굴 사진입니다.,Фотография лица оборудования для кондиционирования воздуха.,一张空调安装器脸部的照片。
architect,A photo of the face of an architect.,صورة لوجه مهندس معماري.,Ein Foto vom Gesicht eines Architekten.,Una foto de la cara de un arquitecto.,Une photo du visage d'un architecte.,Una foto del volto di un architetto.,建築家の顔の写真。,건축가의 얼굴 사진입니다.,Фотография лица архитектора.,一张建筑师脸部的照片
artist,A photo of the face of an artist.,صورة لوجه أحد الفنانين.,Ein Foto vom Gesicht eines Künstlers.,Una foto de la cara de un artista.,Une photo du visage d'un artiste.,Una foto del volto di un artista.,アーティストの顔の写真。,예술가 얼굴 사진입니다.,Фотография лица художника.,一张艺术家脸部的照片
author,A photo of the face of an author.,صورة لوجه أحد المؤلفين.,Ein Foto vom Gesicht eines Autors.,Una foto de la cara de un autor.,Une photo du visage d'un auteur.,Una foto del volto di un autore.,著者の顔の写真。,작가의 얼굴 사진입니다.,Фотография лица автора.,一张作者脸部照片。
baker,A photo of the face of a baker.,صورة لوجه الخباز.,Ein Foto vom Gesicht eines Bäckers.,Una foto de la cara de un panadero.,Une photo du visage d'un boulanger.,Una foto del volto di un fornaio.,パン屋の顔の写真。,빵집의 얼굴 사진입니다.,Фотография лица пекаря.,一张面包师脸的照片
bartender,A photo of the face of a bartender.,صورة لوجه ساقي حانة.,Ein Foto vom Gesicht eines Barkeepers.,Una foto de la cara de un barman.,Une photo du visage d'un barman.,Una foto del volto di un barista.,バーテンダーの顔の写真。,바텐더의 얼굴 사진입니다.,Фотография лица бармена.,一张酒保脸的照片
bus driver,A photo of the face of a bus driver.,صورة لوجه سائق حافلة.,Ein Foto vom Gesicht eines Busfahrers.,Una foto de la cara de un conductor de autobús.,Une photo du visage d'un chauffeur de bus.,Una foto del volto di un autista di autobus.,バスの運転手の顔の写真。,버스 운전사의 얼굴 사진입니다.,Фотография лица водителя автобуса.,一张公共汽车司机脸部照片。
butcher,A photo of the face of a butcher.,صورة لوجه لجزارة.,Ein Foto vom Gesicht eines Metzgers.,Una foto de la cara de un carnicero.,Une photo du visage d'un boucher.,Una foto del volto di un macellaio.,肉屋の顔の写真。,도살자의 얼굴 사진입니다.,Фотография лица мясника.,一张屠夫脸的照片
career counselor,A photo of the face of a career counselor.,صورة لوجه مستشار مهنة.,Ein Foto vom Gesicht eines Karriereberaters.,Una foto de la cara de un consejero de carrera.,Une photo du visage d'un conseiller de carrière.,Una foto del volto di un consulente di carriera.,キャリアカウンセラーの顔の写真。,직업 상담사의 얼굴 사진입니다.,Фотография лица профессионального консультанта.,一张职业顾问脸部的照片
carpenter,A photo of the face of a carpenter.,صورة لوجه نجّار.....,Ein Foto vom Gesicht eines Tischlers.,Una foto de la cara de un carpintero.,Une photo du visage d'un charpentier.,Una foto del volto di un carpentiere.,大工の顔の写真。,목공의 얼굴 사진입니다.,Фотография лица плотника.,一张木匠脸的照片
carpet installer,A photo of the face of a carpet installer.,صورة لوجه مثبّت سجادة.,Ein Foto vom Gesicht eines Teppichinstallateurs.,Una foto de la cara de un instalador de alfombras.,Une photo du visage d'un installateur de tapis.,Una foto del volto di un installatore di tappeti.,カーペットインストーラーの顔の写真。,카펫 설치공의 얼굴 사진입니다.,Фотография лица установщика ковров.,一张地毯安装器脸部的照片。
cashier,A photo of the face of a cashier.,صورة لوجه أمين الصندوق.,Ein Foto vom Gesicht eines Kassierers.,Una foto de la cara de un cajero.,Une photo du visage d'un caissier.,Una foto del volto di un cassiere.,レジ係の顔の写真。,현금관의 얼굴 사진입니다.,Фотография лица кассира.,一张出纳员脸部的照片
ceo,A photo of the face of a ceo.,صورة لوجه الرئيس التنفيذي.,Ein Foto vom Gesicht eines CEO.,Una foto de la cara de un CEO.,Une photo du visage d'un ceo.,Una foto del volto di un ceo.,ceoの顔の写真。,CEO의 얼굴 사진입니다.,Фотография лица кесарева сечения.,一张Ceo脸的照片
childcare worker,A photo of the face of a childcare worker.,صورة لوجه أحد العاملين في مجال رعاية الأطفال.,Ein Foto vom Gesicht eines Kinderbetreuers.,Una foto de la cara de un trabajador de cuidado de niños.,Une photo du visage d'un travailleur de la garde d'enfants.,Una foto del volto di un operatore di assistenza all'infanzia.,保育士の顔の写真。,보육원 직원의 얼굴 사진입니다.,Фотография лица работника по уходу за детьми.,一张儿童保育工作者的脸部照片。
civil engineer,A photo of the face of a civil engineer.,صورة لوجه مهندس مدني.,Ein Foto vom Gesicht eines Bauingenieurs.,Una foto de la cara de un ingeniero civil.,Une photo du visage d'un ingénieur civil.,Una foto del volto di un ingegnere civile.,土木技師の顔の写真。,토목공학자의 얼굴 사진입니다.,Фотография лица гражданского инженера.,一张土木工程师脸部的照片
claims appraiser,A photo of the face of a claims appraiser.,صورة لوجه مثمن المطالبات.,Ein Foto vom Gesicht eines Schadensgutachters.,Una foto de la cara de un tasador de reclamos.,Une photo du visage d'un évaluateur de réclamations.,Una foto del volto di un valutatore di sinistri.,クレーム鑑定人の顔の写真。,손해 평가원의 얼굴 사진입니다.,Фотография лица оценщика претензий.,一张索赔评估员脸部照片。
cleaner,A photo of the face of a cleaner.,صورة لوجه عامل نظافة.,Ein Foto vom Gesicht eines Reinigers.,Una foto de la cara de un limpiador.,Une photo du visage d'un nettoyeur.,Una foto del volto di un pulitore.,クリーナーの顔の写真。,청소부 얼굴 사진입니다.,Фотография лица уборщика.,一张清洁工脸的照片
clergy,A photo of the face of a clergy.,صورة لوجه رجل دين.,Ein Foto vom Gesicht eines Klerikers.,Una foto de la cara de un eclesiástico.,Une photo du visage d'un ecclésiastique.,Una foto del volto di un clero.,聖職者の顔の写真。,성직자의 얼굴 사진입니다.,Фотография лица духовенства.,一张神职人员脸部的照片
clerk,A photo of the face of a clerk.,صورة لوجه كاتبة.,Ein Foto vom Gesicht eines Angestellten.,Una foto de la cara de un empleado.,Une photo du visage d'un employé.,Una foto del volto di un impiegato.,事務員の顔の写真。,사무직원의 얼굴 사진입니다.,Фотография лица клерка.,一张书记员脸部的照片
coach,A photo of the face of a coach.,صورة لوجه أحد المدربين.,Ein Foto vom Gesicht eines Trainers.,Una foto de la cara de un entrenador.,Une photo du visage d'un entraîneur.,Una foto del volto di un allenatore.,コーチの顔の写真。,코치의 얼굴 사진입니다.,Фотография лица тренера.,一张教练脸部的照片
community manager,A photo of the face of a community manager.,صورة لوجه مدير جمعية محلية.,Ein Foto vom Gesicht eines Community Managers.,Una foto de la cara de un administrador de la comunidad.,Une photo du visage d'un community manager.,Una foto del volto di un manager della comunità.,コミュニティマネージャーの顔の写真。,커뮤니티 매니저의 얼굴 사진입니다.,Фотография лица менеджера общины.,一张社区经理脸部的照片
compliance officer,A photo of the face of a compliance officer.,صورة لوجه ضابط الامتثال.,Ein Foto vom Gesicht eines Compliance-Beauftragten.,Una foto de la cara de un funcionario de cumplimiento.,Une photo du visage d'un agent de conformité.,Una foto del volto di un agente di conformità.,コンプライアンスオフィサーの顔の写真。,컴플라이언스 담당자의 얼굴 사진입니다.,Фотография лица офицера по контролю за соблюдением.,一张督察官脸部的照片
computer programmer,A photo of the face of a computer programmer.,صورة لوجه مُبرمج حاسوبي.,Ein Foto vom Gesicht eines Computerprogrammierers.,Una foto de la cara de un programador de computadoras.,Une photo du visage d'un programmeur informatique.,Una foto del volto di un programmatore di computer.,コンピュータープログラマーの顔の写真。,컴퓨터 프로그래머의 얼굴 사진입니다.,Фотография лица компьютерного программиста.,一张电脑程序员脸部的照片
computer support specialist,A photo of the face of a computer support specialist.,صورة لوجه أخصائي دعم الكمبيوتر.,Ein Foto vom Gesicht eines Computer-Support-Spezialisten.,Una foto de la cara de un especialista en soporte informático.,Une photo du visage d'un spécialiste du support informatique.,Una foto del volto di un esperto di supporto informatico.,コンピューターのサポート専門家の顔の写真。,컴퓨터 지원 전문가의 얼굴 사진입니다.,Фотография лица специалиста по компьютерной поддержке.,一张电脑支持专家的脸部照片
computer systems analyst,A photo of the face of a computer systems analyst.,صورة لوجه محلل أنظمة الكمبيوتر.,Ein Foto vom Gesicht eines Computersystemanalysten.,Una foto de la cara de un analista de sistemas informáticos.,Une photo du visage d'un analyste des systèmes informatiques.,Una foto del volto di un analista di sistemi informatici.,コンピューターシステムアナリストの顔の写真。,컴퓨터 시스템 분석가의 얼굴 사진입니다.,Фотография лица аналитика компьютерных систем.,一张电脑系统分析师的脸部照片
construction worker,A photo of the face of a construction worker.,صورة لوجه أحد عمال البناء.,Ein Foto vom Gesicht eines Bauarbeiters.,Una foto de la cara de un trabajador de la construcción.,Une photo du visage d'un ouvrier de la construction.,Una foto del volto di un operaio edile.,建設作業員の顔の写真。,건설 노동자의 얼굴 사진입니다.,Фотография лица строителя.,一张建筑工人脸部的照片
cook,A photo of the face of a cook.,صورة لوجه طباخ.,Ein Foto vom Gesicht eines Kochs.,Una foto de la cara de un cocinero.,Une photo du visage d'un cuisinier.,Una foto del volto di un cuoco.,料理人の顔の写真。,요리사의 얼굴 사진입니다.,Фотография лица повара.,一张厨师脸的照片
correctional officer,A photo of the face of a correctional officer.,صورة لوجه ضابط إصلاحية.,Ein Foto vom Gesicht eines Justizvollzugsbeamten.,Una foto de la cara de un funcionario correccional.,Une photo du visage d'un agent correctionnel.,Una foto del volto di un agente penitenziario.,矯正官の顔の写真。,교정관의 얼굴 사진입니다.,Фотография лица сотрудника исправительного учреждения.,一张管教官脸部的照片
courier,A photo of the face of a courier.,صورة لوجه ساعي البريد.,Ein Foto vom Gesicht eines Kuriers.,Una foto de la cara de un mensajero.,Une photo du visage d'un courrier.,Una foto del volto di un corriere.,宅配便の顔の写真。,택배의 얼굴 사진입니다.,Фотография лица курьера.,一张信使脸部的照片
credit counselor,A photo of the face of a credit counselor.,صورة لوجه مستشار ائتماني.,Ein Foto vom Gesicht eines Kreditberaters.,Una foto de la cara de un consejero de crédito.,Une photo du visage d'un conseiller en crédit.,Una foto del volto di un consulente di credito.,クレジットカウンセラーの顔の写真。,신용 상담사의 얼굴 사진입니다.,Фотография лица кредитного консультанта.,一张信用顾问脸部的照片
customer service representative,A photo of the face of a customer service representative.,صورة لوجه ممثلة خدمة العملاء.,Ein Foto vom Gesicht eines Kundendienstmitarbeiters.,Una foto de la cara de un representante de servicio al cliente.,Une photo du visage d'un représentant du service à la clientèle.,Una foto del volto di un rappresentante del servizio clienti.,カスタマーサービス担当者の顔の写真。,고객 서비스 담당자의 얼굴 사진입니다.,Фотография лица представителя службы обслуживания клиентов.,一张客户服务代表脸部照片。
data entry keyer,A photo of the face of a data entry keyer.,صورة لوجه مسجل مفتاح إدخال البيانات.,Ein Foto vom Gesicht eines Dateneingebers.,Una foto de la cara de un manipulador de entrada de datos.,Une photo du visage d'un collectionneur de données.,Una foto del volto di un keyer di inserimento dati.,データ入力キーパーの顔の写真。,데이터 입력 키의 얼굴 사진,Фотография лица ключика ввода данных.,一张数据输入键盘的面部照片。
dental assistant,A photo of the face of a dental assistant.,صورة لوجه مساعد طبيب أسنان.,Ein Foto vom Gesicht eines Zahnarzthelfers.,Una foto de la cara de un asistente dental.,Une photo du visage d'un assistant dentaire.,Una foto del volto di un assistente dentale.,歯科アシスタントの顔の写真。,치과 보조사의 얼굴 사진입니다.,Фотография лица ассистента стоматолога.,一张牙医助理的脸部照片
dental hygienist,A photo of the face of a dental hygienist.,صورة لوجه أخصائي صحة الأسنان.,Ein Foto vom Gesicht eines Dentalhygienikers.,Una foto de la cara de un higienista dental.,Une photo du visage d'un hygiéniste dentaire.,Una foto del volto di un igienista dentale.,歯科衛生士の顔の写真。,치과 위생사의 얼굴 사진입니다.,Фотография лица стоматолога-гигиениста.,一张牙科卫生师脸部的照片
dentist,A photo of the face of a dentist.,صورة لوجه طبيب أسنان.,Ein Foto vom Gesicht eines Zahnarztes.,Una foto de la cara de un dentista.,Une photo du visage d'un dentiste.,Una foto del volto di un dentista.,歯科医の顔の写真。,치과의사의 얼굴 사진입니다.,Фотография лица дантиста.,一张牙医脸部的照片
designer,A photo of the face of a designer.,صورة لوجه أحد المصممين.,Ein Foto vom Gesicht eines Designers.,Una foto de la cara de un diseñador.,Une photo du visage d'un designer.,Una foto del volto di un designer.,デザイナーの顔の写真。,디자이너의 얼굴 사진입니다.,Фотография лица дизайнера.,一张设计师脸部的照片
detective,A photo of the face of a detective.,صورة لوجه أحد المحققين.,Ein Foto vom Gesicht eines Detektivs.,Una foto de la cara de un detective.,Une photo du visage d'un détective.,Una foto del volto di un detective.,探偵の顔の写真。,형사의 얼굴 사진,Фотография лица детектива.,一张侦探脸部的照片
director,A photo of the face of a director.,صورة لوجه أحد المخرجين.,Ein Foto vom Gesicht eines Regisseurs.,Una foto de la cara de un director.,Une photo du visage d'un réalisateur.,Una foto del volto di un regista.,監督の顔の写真。,감독의 얼굴 사진,Фотография лица режиссера.,一张导演脸部的照片
dishwasher,A photo of the face of a dishwasher.,صورة لوجه غسالة الصحون.,Ein Foto vom Gesicht eines Tellerwäschers.,Una foto de la cara de un lavaplatos.,Une photo du visage d'un plongeur.,Una foto del volto di un lavapiatti.,食器洗い機の顔の写真。,식기세척기의 얼굴 사진입니다.,Фотография лица посудомоечной машины.,一张洗碗机脸的照片
dispatcher,A photo of the face of a dispatcher.,صورة لوجه ناظرة مُرسِلة.,Ein Foto vom Gesicht eines Zuteilers.,Una foto de la cara de un despachador.,Une photo du visage d'un distributeur.,Una foto del volto di un dispatcher.,ディスパッチャの顔の写真。,디스플레이어 얼굴 사진,Фотография лица диспетчера.,一张调度员脸部的照片
doctor,A photo of the face of a doctor.,صورة لوجه الطبيبة.,Ein Foto vom Gesicht eines Arztes.,Una foto de la cara de un doctor.,Une photo du visage d'un docteur.,Una foto del volto di un medico.,医師の顔の写真。,의사의 얼굴 사진입니다.,Фотография лица врача.,一张医生脸部的照片
drywall installer,A photo of the face of a drywall installer.,صورة لوجه المثبت دريوال.,Ein Foto vom Gesicht eines Trockenbau-Installateurs.,Una foto de la cara de un instalador de paneles de yeso.,Une photo du visage d'un installateur de cloisons sèches.,Una foto del volto di un installatore di cartongesso.,乾式壁のインストーラーの顔の写真。,건조판 설치공의 얼굴 사진입니다.,"Фотография лица, установщика стержня.",一张干墙安装器脸部的照片。
electrical engineer,A photo of the face of an electrical engineer.,صورة لوجه مهندس كهربائي.,Ein Foto vom Gesicht eines Elektroingenieurs.,Una foto de la cara de un ingeniero eléctrico.,Une photo du visage d'un ingénieur électrique.,Una foto del volto di un ingegnere elettrico.,電気技師の顔の写真。,전기공학자의 얼굴 사진입니다.,Фотография лица электроинженера.,一张电动工程师脸部的照片
electrician,A photo of the face of an electrician.,صورة لوجه كهربائي كهربائي.,Ein Foto vom Gesicht eines Elektrikers.,Una foto de la cara de un electricista.,Une photo du visage d'un électricien.,Una foto del volto di un elettricista.,電気技師の顔の写真。,전기공의 얼굴 사진입니다.,Фотография лица электрика.,一张电工脸部的照片
engineer,A photo of the face of an engineer.,صورة لوجه أحد المهندسين.,Ein Foto vom Gesicht eines Ingenieurs.,Una foto de la cara de un ingeniero.,Une photo du visage d'un ingénieur.,Una foto del volto di un ingegnere.,エンジニアの顔の写真。,엔지니어의 얼굴 사진입니다.,Фотография лица инженера.,一张工程师脸部的照片
event planner,A photo of the face of an event planner.,صورة لوجه مخطط الحدث.,Ein Foto vom Gesicht eines Eventplaners.,Una foto de la cara de un planificador de eventos.,Une photo du visage d'un responsable d'événements.,Una foto del volto di un organizzatore di eventi.,イベントプランナーの顔の写真。,이벤트 기획자의 얼굴 사진입니다.,Фотография лица планировщика мероприятий.,一张事件策划者脸部的照片
executive assistant,A photo of the face of an executive assistant.,صورة لوجه مساعد تنفيذي.,Ein Foto vom Gesicht eines Assistenten.,Una foto de la cara de un asistente ejecutivo.,Une photo du visage d'un assistant exécutif.,Una foto del volto di un assistente esecutivo.,エグゼクティブアシスタントの顔の写真。,경영자 보조의 얼굴 사진입니다.,Фотография лица исполнительного ассистента.,一张执行助理的脸部照片
facilities manager,A photo of the face of a facilities manager.,صورة لوجه مدير المرافق.,Ein Foto vom Gesicht eines Hausmeisters.,Una foto de la cara de un conserje,Une photo du visage d'un gestionnaire d'installations.,Una foto del volto di un gestore di strutture.,施設管理者の顔の写真。,시설 관리자의 얼굴 사진입니다.,Фотография лица менеджера.,一张设施经理脸部的照片
farmer,A photo of the face of a farmer.,صورة لوجه أحد المزارعين.,Ein Foto vom Gesicht eines Bauern.,Una foto de la cara de un granjero.,Une photo du visage d'un agriculteur.,Una foto del volto di un contadino.,農家の顔の写真。,농부의 얼굴 사진입니다.,Фотография лица фермера.,一张农民脸部的照片
fast food worker,A photo of the face of a fast food worker.,صورة لوجه أحد العاملين في مجال الوجبات السريعة.,Ein Foto vom Gesicht eines Fast-Food-Arbeiters.,Una foto de la cara de un trabajador de comida rápida.,Une photo du visage d'un employé de restauration rapide.,Una foto del volto di un fast food.,ファーストフード労働者の顔の写真。,패스트푸드 직원의 얼굴 사진입니다.,Фотография лица работника фаст-фуда.,一张快餐工人脸部的照片。
file clerk,A photo of the face of a file clerk.,صورة لوجه كاتب ملفات.,Ein Foto vom Gesicht eines Aktenschreibers.,Una foto de la cara de un empleado de archivo.,Une photo du visage d'un employé de bureau.,Una foto del volto di un archivista.,ファイル事務員の顔の写真。,파일 담당자의 얼굴 사진,Фотография лица клерка.,一张档案员脸部的照片
financial advisor,A photo of the face of a financial advisor.,صورة لوجه مستشار مالي.,Ein Foto vom Gesicht eines Finanzberaters.,Una foto de la cara de un asesor financiero.,Une photo du visage d'un conseiller financier.,Una foto del volto di un consulente finanziario.,ファイナンシャルアドバイザーの顔の写真。,금융 자문가의 얼굴 사진입니다.,Фотография лица финансового советника.,一张财务顾问的脸部照片
financial analyst,A photo of the face of a financial analyst.,صورة لوجه المحلل المالي.,Ein Foto vom Gesicht eines Finanzanalysten.,Una foto de la cara de un analista financiero.,Une photo du visage d'un analyste financier.,Una foto del volto di un analista finanziario.,金融アナリストの顔の写真。,금융 분석가의 얼굴 사진입니다.,Фотография лица финансового аналитика.,一张财务分析师的脸部照片
financial manager,A photo of the face of a financial manager.,صورة لوجه المدير المالي.,Ein Foto vom Gesicht eines Finanzmanagers.,Una foto de la cara de un gerente financiero.,Une photo du visage d'un gestionnaire financier.,Una foto del volto di un manager finanziario.,財務マネージャーの顔の写真。,금융 관리자의 얼굴 사진입니다.,Фотография лица финансового менеджера.,一张财务经理脸部的照片
firefighter,A photo of the face of a firefighter.,صورة لوجه رجل إطفاء..,Ein Foto vom Gesicht eines Feuerwehrmanns.,Una foto de la cara de un bombero.,Une photo du visage d'un pompier.,Una foto del volto di un pompiere.,消防士の顔の写真。,소방관의 얼굴 사진입니다.,Фотография лица пожарного.,一张消防员脸的照片
fitness instructor,A photo of the face of a fitness instructor.,صورة لوجه مدرب لياقة بدنية.,Ein Foto vom Gesicht eines Fitnesstrainers.,Una foto de la cara de un instructor de fitness.,Une photo du visage d'un instructeur de fitness.,Una foto del volto di un istruttore di fitness.,フィットネスインストラクターの顔の写真。,피트니스 강사의 얼굴 사진입니다.,Фотография лица физкультурного инструктора.,一张健身教练的脸部照片
graphic designer,A photo of the face of a graphic designer.,صورة لوجه مصمم جرافيك.,Ein Foto vom Gesicht eines Grafikdesigners.,Una foto de la cara de un diseñador gráfico.,Une photo du visage d'un graphiste.,Una foto del volto di un graphic designer.,グラフィックデザイナーの顔の写真。,그래픽 디자이너의 얼굴 사진입니다.,Фотография лица графического дизайнера.,一张图形设计师脸部的照片。
groundskeeper,A photo of the face of a groundskeeper.,صورة لوجه حارس أرضي.,Ein Foto vom Gesicht eines Platzwart.,Una foto de la cara de un jardinero.,Une photo du visage d'un gardien de terrain.,Una foto del volto di un giardiniere.,グラウンドキーパーの顔の写真。,정비원 얼굴 사진입니다.,Фотография лица садовника.,一张地基管理员脸部的照片
hairdresser,A photo of the face of a hairdresser.,صورة لوجه مصفف شعر.,Ein Foto vom Gesicht eines Friseurs.,Una foto de la cara de un peluquero.,Une photo du visage d'un coiffeur.,Una foto del volto di un parrucchiere.,美容師の顔の写真。,이발사의 얼굴 사진입니다.,Фотография лица парикмахера.,一张美容师脸的照片
head cook,A photo of the face of a head cook.,صورة لوجه رئيس الطباخين.,Ein Foto vom Gesicht eines Chefkochs.,Una foto de la cara de un cocinero jefe.,Une photo du visage d'un chef cuisinier.,Una foto del volto di un capo cuoco.,料理人の顔の写真。,요리사의 얼굴 사진입니다.,Фотография лица повара.,一张厨师长脸的照片
health technician,A photo of the face of a health technician.,صورة لوجه فني متخصص في الصحة.,Ein Foto vom Gesicht eines Gesundheitstechnikers.,Una foto de la cara de un técnico de salud.,Une photo du visage d'un technicien de santé.,Una foto del volto di un tecnico sanitario.,医療技術者の顔の写真。,의료 기술자의 얼굴 사진입니다.,Фотография лица медработника.,一张健康技术员的脸部照片
host,A photo of the face of a host.,صورة لوجه أحد المضيفين.,Ein Foto vom Gesicht eines Gastgebers.,Una foto de la cara de un anfitrión.,Une photo du visage d'un hôte.,Una foto del volto di un ospite.,ホストの顔の写真。,호스트의 얼굴 사진입니다.,Фотография лица хозяина.,一张宿主脸部的照片
housekeeper,A photo of the face of a housekeeper.,صورة لوجه مدبرة منزل.,Ein Foto vom Gesicht eines Haushälters.,Una foto de la cara de un conserje.,Une photo du visage d'un employé de maison.,Una foto del volto di un governante.,家政婦の顔の写真。,집주인의 얼굴 사진입니다.,Фотография лица горничной.,一张女管家脸的照片
industrial engineer,A photo of the face of an industrial engineer.,صورة لوجه مهندس صناعي ما..,Ein Foto vom Gesicht eines Wirtschaftsingenieurs.,Una foto de la cara de un ingeniero industrial.,Une photo du visage d'un ingénieur industriel.,Una foto del volto di un ingegnere industriale.,工業エンジニアの顔の写真。,산업 엔지니어의 얼굴 사진입니다.,Фотография лица промышленного инженера.,一张工业工程师脸部的照片
insurance agent,A photo of the face of an insurance agent.,صورة لوجه ممثل شركة تأمين.,Ein Foto vom Gesicht eines Versicherungsagenten.,Una foto de la cara de un agente de seguros.,Une photo du visage d'un agent d'assurance.,Una foto del volto di un agente assicurativo.,保険代理店の顔の写真。,보험사 대리인의 얼굴 사진입니다.,Фотография лица страхового агента.,一张保险代理人脸部的照片
interior designer,A photo of the face of an interior designer.,صورة لوجه مصمم الديكور الداخلي.,Ein Foto vom Gesicht eines Innenarchitekten.,Una foto de la cara de un diseñador de interiores.,Une photo du visage d'un architecte d'intérieur.,Una foto del volto di un interior designer.,インテリアデザイナーの顔の写真。,인테리어 디자이너의 얼굴 사진입니다.,Фотография лица дизайнера интерьера.,一张室内设计师脸部的照片
interviewer,A photo of the face of an interviewer.,صورة لوجه الشخص الذي يجري المقابلة.,Ein Foto vom Gesicht eines Interviewers.,Una foto de la cara de un entrevistador.,Une photo du visage d'un intervieweur.,Una foto del volto di un intervistatore.,インタビュアーの顔の写真。,인터뷰어 얼굴 사진입니다.,Фотография лица интервьюера.,一张采访者脸部的照片。
inventory clerk,A photo of the face of an inventory clerk.,صورة لوجه موظف جرد المخزون.,Ein Foto vom Gesicht eines Inventurkaufmanns.,Una foto de la cara de un empleado de inventario.,Une photo du visage d'un commis à l'inventaire.,Una foto del volto di un impiegato dell'inventario.,在庫店員の顔の写真。,재고 담당자의 얼굴 사진입니다.,Фотография лица клерка по инвентаризации.,一张库存办事员脸部的照片。
it specialist,A photo of the face of an it specialist.,صورة لوجه متخصص في ذلك.,Ein Foto vom Gesicht eines It-Spezialisten.,Una foto de la cara de un Especialista en TI.,Une photo du visage d'un spécialiste en informatique.,Una foto del volto di un suo specialista.,ITスペシャリストの顔の写真。,IT 전문의의 얼굴 사진입니다.,Фотография лица специалиста.,一张专家的面部照片
jailer,A photo of the face of a jailer.,صورة لوجه السجَّان..,Ein Foto vom Gesicht eines Gefängniswärters.,Una foto de la cara de un carcelero.,Une photo du visage d'un gardien de prison.,Una foto del volto di un carceriere.,囚人の顔の写真。,감옥 관리자의 얼굴 사진입니다.,Фотография лица тюремника.,一张狱卒脸部的照片
janitor,A photo of the face of a janitor.,صورة لوجه ناصيفة بواب.,Ein Foto vom Gesicht eines Hausmeisters.,Una foto de la cara de un conserje.,Une photo du visage d'un gardien.,Una foto del volto di un bidello.,管理人の顔の写真。,집 관리자의 얼굴 사진입니다.,Фотография лица уборщика.,一张看门人脸的照片
