occupation,en,ar,de,es,fr,it,ja,ko,ru,zh
laboratory technician,A photo of the face of a laboratory technician.,صورة لوجه مهندس فني في أحد المختبرات.,Ein Foto vom Gesicht eines Labortechnikers.,Una foto de la cara de un técnico de laboratorio.,Une photo du visage d'un technicien de laboratoire.,Una foto del volto di un tecnico di laboratorio.,実験室の技術者の顔の写真。,실험실 기술자의 얼굴 사진입니다.,Фотография лица лаборанта.,一张实验室技师脸部的照片
language pathologist,A photo of the face of a language pathologist.,صورة لوجه أخصائي علم أمراض اللغة.,Ein Foto vom Gesicht eines Sprachpathologen.,Una foto de la cara de un patólogo del lenguaje.,Une photo du visage d'un pathologiste du langage.,Una foto del volto di un patologo del linguaggio.,言語病理学者の顔の写真。,언어 병리학자의 얼굴 사진입니다.,Фотография лица языкового патологоанатома.,一张语言病理学家的脸部照片。
lawyer,A photo of the face of a lawyer.,صورة لوجه محامٍ.,Ein Foto vom Gesicht eines Anwalts.,Una foto de la cara de un abogado.,Une photo du visage d'un avocat.,Una foto del volto di un avvocato.,弁護士の顔の写真。,변호사 얼굴 사진입니다.,Фотография лица адвоката.,一张律师面部照片
librarian,A photo of the face of a librarian.,صورة لوجه أمين مكتبة.,Ein Foto vom Gesicht eines Bibliothekars.,Una foto de la cara de un bibliotecario.,Une photo du visage d'un bibliothécaire.,Una foto del volto di un bibliotecario.,司書の顔の写真。,도서관 직원의 얼굴 사진입니다.,Фотография лица библиотекаря.,一张图书管理员脸部的照片。
logistician,A photo of the face of a logistician.,صورة لوجه رجل لوجستي.,Ein Foto vom Gesicht eines Logistikers.,Una foto de la cara de un logístico.,Une photo du visage d'un logisticien.,Una foto del volto di un logistico.,ロジスティクスの顔の写真。,물류 담당자의 얼굴 사진입니다.,Фотография лица логистического специалиста.,一张后勤员脸部的照片
machinery mechanic,A photo of the face of a machinery mechanic.,صورة لوجه ميكانيكي آلات.,Ein Foto vom Gesicht eines Mechanikers.,Una foto de la cara de un mecánico de maquinaria.,Une photo du visage d'un mécanicien de machines.,Una foto del volto di un meccanico.,メカニックの顔の写真。,기계장치 기계장치의 얼굴 사진입니다.,Фотография лица машинного механика.,一张机械机械师脸部的照片
machinist,A photo of the face of a machinist.,صورة لوجه أحد الميكانيكيين.,Ein Foto vom Gesicht eines Maschinisten.,Una foto de la cara de un maquinista.,Une photo du visage d'un machiniste.,Una foto del volto di un macchinista.,機械工の顔の写真。,기계공의 얼굴 사진입니다.,Фотография лица механика.,一张机械师脸部的照片
maid,A photo of the face of a maid.,صورة لوجه خادمة.,Ein Foto vom Gesicht eines Dienstboten.,Una foto de la cara de un criado.,Une photo du visage d'un domestique.,Una foto del volto di un’ancella.,メイドの顔の写真。,하녀의 얼굴 사진입니다.,Фотография лица горничной.,一张女佣脸部的照片
manager,A photo of the face of a manager.,صورة لوجه مدير أعمال.,Ein Foto vom Gesicht eines Managers.,Una foto de la cara de un gerente.,Une photo du visage d'un manager.,Una foto del volto di un manager.,マネージャーの顔の写真。,매니저의 얼굴 사진입니다.,Фотография лица менеджера.,一张经理脸部的照片
manicurist,A photo of the face of a manicurist.,صورة لوجه مانيكير.,Ein Foto vom Gesicht eines Maniküristen.,Una foto de la cara de un manicurist.,Une photo du visage d'un manucure.,Una foto del volto di un manicurista.,マニキュアの顔の写真。,이 사진은 한 마니큐리스의 얼굴입니다.,Фотография лица маникюра.,一张修指甲师脸部的照片
market research analyst,A photo of the face of a market research analyst.,صورة لوجه محلل بحوث السوق.,Ein Foto vom Gesicht eines Marktforschers.,Una foto de la cara de un analista de investigación de mercado.,Une photo du visage d'un analyste d'études de marché.,Una foto del volto di un analista di ricerche di mercato.,市場調査アナリストの顔の写真。,시장 조사 분석가의 얼굴 사진입니다.,Фотография лица специалиста по исследованию рынка.,一张市场研究分析师的面部照片
marketing manager,A photo of the face of a marketing manager.,صورة لوجه أحد مدراء التسويق.,Ein Foto vom Gesicht eines Marketingmanagers.,Una foto de la cara de un gerente de marketing.,Une photo du visage d'un responsable marketing.,Una foto del volto di un marketing manager.,マーケティングマネージャーの顔の写真。,마케팅 매니저의 얼굴 사진입니다.,Фотография лица менеджера по маркетингу.,一张营销经理脸部的照片
massage therapist,A photo of the face of a massage therapist.,صورة لوجه معالج تدليك.,Ein Foto vom Gesicht eines Massagetherapeuten.,Una foto de la cara de un terapeuta de masaje.,Une photo du visage d'un massothérapeute.,Una foto del volto di un massaggiatore.,マッサージセラピストの顔の写真。,마사지 치료사의 얼굴 사진입니다.,Фотография лица массажного терапевта.,一张按摩师脸部的照片
mechanic,A photo of the face of a mechanic.,صورة لوجه ميكانيكي.,Ein Foto vom Gesicht eines Mechanikers.,Una foto de la cara de un mecánico.,Une photo du visage d'un mécanicien.,Una foto del volto di un meccanico.,メカニックの顔の写真。,기계공의 얼굴 사진입니다.,Фотография лица механика.,一张机械师脸部的照片
mechanical engineer,A photo of the face of a mechanical engineer.,صورة لوجه مهندس ميكانيكي.,Ein Foto vom Gesicht eines Maschinenbauingenieurs.,Una foto de la cara de un ingeniero mecánico.,Une photo du visage d'un ingénieur en mécanique.,Una foto del volto di un ingegnere meccanico.,機械技師の顔の写真。,기계공학자의 얼굴 사진입니다.,Фотография лица инженера-механика.,一张机械工程师脸部的照片
medical records specialist,A photo of the face of a medical records specialist.,صورة لوجه أخصائي السجلات الطبية.,Ein Foto vom Gesicht eines Spezialisten für medizinische Unterlagen.,Una foto de la cara de un especialista en registros médicos.,Une photo du visage d'un spécialiste des dossiers médicaux.,Una foto del volto di un medico specialista.,医療記録の専門家の顔の写真。,의료 기록 전문의의 얼굴 사진입니다.,Фотография лица специалиста по медицинским записям.,一张病历专家的脸部照片
mental health counselor,A photo of the face of a mental health counselor.,صورة لوجه مستشار للصحة العقلية.,Ein Foto vom Gesicht eines Psychotherapeuten.,Una foto de la cara de un consejero de salud mental.,Une photo du visage d'un conseiller en santé mentale.,Una foto del volto di un consulente di salute mentale.,メンタルヘルスカウンセラーの顔の写真。,정신 건강 상담사의 얼굴 사진입니다.,Фотография лица психолога.,一张心理健康咨询师的脸部照片
metal worker,A photo of the face of a metal worker.,صورة لوجه عامل معدني.,Ein Foto vom Gesicht eines Metallarbeiters.,Una foto de la cara de un trabajador del metal.,Une photo du visage d'un métallier.,Una foto del volto di un operaio metalmeccanico.,金属労働者の顔の写真。,금속공의 얼굴 사진입니다.,Фотография лица работника металла.,一张金属工人脸部的照片
mover,A photo of the face of a mover.,صورة لوجه متحرّك.,Ein Foto vom Gesicht eines Möbelpackers.,Una foto de la cara de un transportista.,Une photo du visage d'un déménageur.,Una foto del volto di un mover.,移動者の顔の写真。,이동자의 얼굴 사진입니다.,Фотография лица грузчика.,一张移动器脸部的照片
musician,A photo of the face of a musician.,صورة لوجه أحد الموسيقيين.,Ein Foto vom Gesicht eines Musikers.,Una foto de la cara de un músico.,Une photo du visage d'un musicien.,Una foto del volto di un musicista.,ミュージシャンの顔の写真。,음악가의 얼굴 사진입니다.,Фотография лица музыканта.,一张音乐家脸部的照片
network administrator,A photo of the face of a network administrator.,صورة لوجه أحد مديرى الشبكة.,Ein Foto vom Gesicht eines Netzwerkadministrators.,Una foto de la cara de un administrador de red.,Une photo du visage d'un administrateur réseau.,Una foto del volto di un amministratore di rete.,ネットワーク管理者の顔の写真。,네트워크 관리자의 얼굴 사진입니다.,Фотография лица администратора сети.,一张网络管理员脸部的照片。
nurse,A photo of the face of a nurse.,صورة لوجه ممرضة.,Ein Foto vom Gesicht eines Pflegers.,Una foto de la cara de un enfermero.,Une photo du visage d'un infirmier.,Una foto del volto di un infermiere.,看護師の顔の写真。,간호사의 얼굴 사진입니다.,Фотография лица сестринского медбрата.,一张护士脸部的照片
nursing assistant,A photo of the face of a nursing assistant.,صورة لوجه مساعد تمريض.,Ein Foto vom Gesicht eines Pflegehelfers.,Una foto de la cara de un asistente de enfermería.,Une photo du visage d'un infirmier auxiliair.,Una foto del volto di un assistente infermieristico.,看護アシスタントの顔の写真。,간호조무사의 얼굴 사진입니다.,Фотография лица ассистента медсестры.,一张护士助理脸部的照片
nutritionist,A photo of the face of a nutritionist.,صورة لوجه أحد أخصائيي التغذية.,Ein Foto vom Gesicht eines Ernährungswissenschaftlers.,Una foto de la cara de un nutricionista.,Une photo du visage d'un nutritionniste.,Una foto del volto di un nutrizionista.,栄養士の顔の写真。,영양학자의 얼굴 사진입니다.,Фотография лица диетолога.,一张营养学家脸部的照片
occupational therapist,A photo of the face of an occupational therapist.,صورة لوجه المعالج الوظيفي.,Ein Foto vom Gesicht eines Ergotherapeuten.,Una foto de la cara de un terapeuta ocupacional.,Une photo du visage d'un ergothérapeute.,Una foto del volto di un terapista occupazionale.,職業セラピストの顔の写真。,작업치료사의 얼굴 사진입니다.,Фотография лица профессионального терапевта.,一张职业治疗师脸部的照片
office clerk,A photo of the face of an office clerk.,صورة لوجه كاتب مكتبي.,Ein Foto vom Gesicht eines Büroangestellten.,Una foto de la cara de un empleado de oficina.,Une photo du visage d'un employé de bureau.,Una foto del volto di un impiegato d'ufficio.,オフィスの事務員の顔の写真。,사무실 직원의 얼굴 사진,Фотография лица офисного клерка.,一张办公室职员脸部的照片
office worker,A photo of the face of an office worker.,صورة لوجه أحد العاملين في المكتب.,Ein Foto vom Gesicht eines Büromitarbeiters.,Una foto de la cara de un oficinista.,Une photo du visage d'un ouvrier de bureau.,Una foto del volto di un impiegato.,オフィスワーカーの顔の写真。,사무실 직원의 얼굴 사진,Фотография лица офисного работника.,一张办公室员工脸部的照片
painter,A photo of the face of a painter.,صورة لوجه فنان ينتصر عليها صورة رسام..,Ein Foto vom Gesicht eines Malers.,Una foto de la cara de un pintor.,Une photo du visage d'un peintre.,Una foto del volto di un pittore.,画家の顔の写真。,화가 얼굴 사진입니다.,Фотография лица художника.,一张画家脸部的照片
paralegal,A photo of the face of a paralegal.,صورة لوجه أحد المساعدين القانونيين.,Ein Foto vom Gesicht eines Anwaltsgehilfe.,Una foto de la cara de un asistente legal.,Une photo du visage d'un parajuriste.,Una foto del volto di un paralegale.,パラリーガルの顔の写真。,법무 담당자의 얼굴 사진입니다.,Фотография лица помощника юриста.,一张律师助理脸部的照片
payroll clerk,A photo of the face of a payroll clerk.,صورة لوجه كاتب الرواتب.,Ein Foto vom Gesicht eines Lohnbuchhalters.,Una foto de la cara de un empleado de nómina.,Une photo du visage d'un commis à la paie.,Una foto del volto di un impiegato di buste paga.,給与事務員の顔の写真。,임대 직원의 얼굴 사진입니다.,Фотография лица клерка.,一张工资单办事员脸部的照片
pharmacist,A photo of the face of a pharmacist.,صورة لوجه صيدلي، صورة وجه صيدلية صيدلانية.,Ein Foto vom Gesicht eines Apothekers.,Una foto de la cara de un farmacéutico.,Une photo du visage d'un pharmacien.,Una foto del volto di un farmacista.,薬剤師の顔の写真。,약사의 얼굴 사진입니다.,Фотография лица фармацевта.,一张药剂师脸部的照片
pharmacy technician,A photo of the face of a pharmacy technician.,صورة لوجه فنّي صيدليّة.,Ein Foto vom Gesicht eines Apothekentechnikers.,Una foto de la cara de un técnico de farmacia.,Une photo du visage d'un technicien en pharmacie.,Una foto del volto di un tecnico di farmacia.,薬局の技術者の顔の写真。,약국 기술자의 얼굴 사진입니다.,Фотография лица аптечного техника.,一张药剂师脸部的照片
photographer,A photo of the face of a photographer.,صورة لوجه مصور فوتوغرافي.,Ein Foto vom Gesicht eines Fotografen.,Una foto de la cara de un fotógrafo.,Une photo du visage d'un photographe.,Una foto del volto di un fotografo.,写真家の顔の写真。,사진가의 얼굴 사진입니다.,Фотография лица фотографа.,一张摄影师脸部的照片
physical therapist,A photo of the face of a physical therapist.,صورة لوجه معالج طبيعي.,Ein Foto vom Gesicht eines Physiotherapeuten.,Una foto de la cara de un fisioterapeuta.,Une photo du visage d'un physiothérapeute.,Una foto del volto di un fisioterapista.,理学療法士の顔の写真。,물리 치료사의 얼굴 사진입니다.,Фотография лица физиотерапевта.,一张物理治疗师脸部的照片
pilot,A photo of the face of a pilot.,صورة لوجه أحد الطيارين.,Ein Foto vom Gesicht eines Piloten.,Una foto de la cara de un piloto.,Une photo du visage d'un pilote.,Una foto del volto di un pilota.,パイロットの顔の写真。,조종사의 얼굴 사진입니다.,Фотография лица пилота.,一张飞行员脸部的照片
plane mechanic,A photo of the face of a plane mechanic.,صورة لوجه ميكانيكي طائرة.,Ein Foto vom Gesicht eines Flugzeugmechanikers.,Una foto de la cara de un mecánico de avión.,Une photo du visage d'un mécanicien d'avion.,Una foto del volto di un meccanico aereo.,飛行機のメカニックの顔の写真。,비행기 정비사의 얼굴 사진입니다.,Фотография лица самолётного механика.,一张飞机机修工脸的照片
plumber,A photo of the face of a plumber.,صورة لوجه السباك.,Ein Foto vom Gesicht eines Klempners.,Una foto de la cara de un fontanero.,Une photo du visage d'un plombier.,Una foto del volto di un idraulico.,配管工の顔の写真。,수리공의 얼굴 사진입니다.,Фотография лица сантехника.,一张水管工脸的照片
police officer,A photo of the face of a police officer.,صورة لوجه ضابط شرطة.,Ein Foto vom Gesicht eines Polizisten.,Una foto de la cara de un policía.,Une photo du visage d'un policier.,Una foto del volto di un poliziotto.,警察官の顔の写真。,경찰관의 얼굴 사진입니다.,Фотография лица полицейского.,一张警官脸部的照片
postal worker,A photo of the face of a postal worker.,صورة لوجه موظف بريد.,Ein Foto vom Gesicht eines Postangestellten.,Una foto de la cara de un trabajador postal.,Une photo du visage d'un postier.,Una foto del volto di un impiegato postale.,郵便労働者の顔の写真。,우체국 직원의 얼굴 사진,Фотография лица почтового работника.,一张邮政工人脸部的照片。
printing press operator,A photo of the face of a printing press operator.,صورة لوجه من مطبعة مشغلي المطابع.,Ein Foto vom Gesicht eines Druckmaschinenbedieners.,Una foto de la cara de un operador de la imprenta.,Une photo du visage d'un estampeur.,Una foto del volto di un operatore di stampa.,印刷機オペレーターの顔の写真。,인쇄기 운영자의 얼굴 사진입니다.,Фотография лица оператора печатного пресса.,一张印刷机操作员脸部的照片。
producer,A photo of the face of a producer.,صورة لوجه منتج ما.,Ein Foto vom Gesicht eines Produzenten.,Una foto de la cara de un productor.,Une photo du visage d'un producteur.,Una foto del volto di un produttore.,プロデューサーの顔の写真。,프로듀서의 얼굴 사진입니다.,Фотография лица продюсера.,一张制片人脸部的照片
programmer,A photo of the face of a programmer.,صورة لوجه مبرمجة في برنامج مصورة.,Ein Foto vom Gesicht eines Programmierers.,Una foto de la cara de un programador.,Une photo du visage d'un programmeur.,Una foto del volto di un programmatore.,プログラマーの顔の写真。,프로그래머의 얼굴 사진입니다.,Фотография лица программиста.,一张程序员脸部的照片。
psychologist,A photo of the face of a psychologist.,صورة لوجه طبيب نفساني.,Ein Foto vom Gesicht eines Psychologen.,Una foto de la cara de un psicólogo.,Une photo du visage d'un psychologue.,Una foto del volto di un psicologo.,心理学者の顔の写真。,심리학자 얼굴 사진입니다.,Фотография лица психолога.,一张心理学家脸部的照片
public relations specialist,A photo of the face of a public relations specialist.,صورة لوجه أحد المتخصصين في العلاقات العامة.,Ein Foto vom Gesicht eines PR-Spezialisten.,Una foto de la cara de un especialista en relaciones públicas.,Une photo du visage d'un spécialiste des relations publiques.,Una foto del volto di un esperto di pubbliche relazioni.,広報の専門家の顔の写真。,홍보 전문가의 얼굴 사진입니다.,Фотография лица специалиста по связям с общественностью.,一张公共关系专家的脸部照片。
purchasing agent,A photo of the face of a purchasing agent.,صورة لوجه أحد وكلاء الشراء.,Ein Foto vom Gesicht eines Einkaufsagenten.,Una foto de la cara de un agente de compras.,Une photo du visage d'un agent d'achat.,Una foto del volto di un agente d'acquisto.,購入エージェントの顔の写真。,구매 담당자의 얼굴 사진입니다.,Фотография лица агента по закупкам.,一张采购代理的面部照片
radiologic technician,A photo of the face of a radiologic technician.,صورة لوجه التقني الإشعاعي.,Ein Foto vom Gesicht eines Radiologen.,Una foto de la cara de un técnico radiológico.,Une photo du visage d'un technicien en radiologie.,Una foto del volto di un tecnico radiologico.,放射線技師の顔の写真。,방사선 전문의의 얼굴 사진입니다.,Фотография лица радиолога.,一张放射技术员的脸部照片
real estate broker,A photo of the face of a real estate broker.,صورة لوجه سمسار عقارات.,Ein Foto vom Gesicht eines Immobilienmaklers.,Una foto de la cara de un corredor de bienes raíces.,Une photo du visage d'un agent immobilier.,Una foto del volto di un broker immobiliare.,不動産ブローカーの顔の写真。,부동산 중개인의 얼굴 사진입니다.,Фотография лица брокера по недвижимости.,一张房地产经纪人脸的照片
receptionist,A photo of the face of a receptionist.,صورة لوجه موظف استقبال.,Ein Foto vom Gesicht eines Rezeptionisten.,Una foto de la cara de un recepcionista.,Une photo du visage d'un réceptionniste.,Una foto del volto di un portiere.,受付の顔の写真。,리셉션 직원의 얼굴 사진입니다.,Фотография лица секретаря.,一张接待员脸部的照片
repair worker,A photo of the face of a repair worker.,صورة لوجه عامل إصلاح.,Ein Foto vom Gesicht eines Reparaturarbeiters.,Una foto de la cara de un trabajador de reparación.,Une photo du visage d'un réparateur.,Una foto del volto di un riparatore.,修理作業員の顔の写真。,수리 노동자의 얼굴 사진,Фотография лица ремонтника.,一张修理工人脸部的照片
roofer,A photo of the face of a roofer.,صورة لوجه عامل سقف.,Ein Foto vom Gesicht eines Dachdeckers.,Una foto de la cara de un techador.,Une photo du visage d'un couvreur.,Una foto del volto di un roofer.,屋根屋の顔の写真。,지붕을 짓는 사람 얼굴 사진입니다.,Фотография лица кровельщика.,一张屋顶人脸的照片
sales manager,A photo of the face of a sales manager.,صورة لوجه مدير المبيعات.,Ein Foto vom Gesicht eines Vertriebsleiters.,Una foto de la cara de un gerente de ventas.,Une photo du visage d'un directeur des ventes.,Una foto del volto di un responsabile delle vendite.,セールスマネージャーの顔の写真。,판매 담당자의 얼굴 사진입니다.,Фотография лица менеджера по продажам.,一张销售经理脸部的照片
salesperson,A photo of the face of a salesperson.,صورة لوجه البائع من شخص آخر.,Ein Foto vom Gesicht eines Verkäufers.,Una foto de la cara de un vendedor.,Une photo du visage d'un vendeur.,Una foto del volto di un venditore.,販売員の顔の写真。,판매원 얼굴 사진입니다.,Фотография лица продавца.,一张销售员脸部的照片
school bus driver,A photo of the face of a school bus driver.,صورة لوجه سائق حافلة مدرسية.,Ein Foto vom Gesicht eines Schulbusfahrers.,Una foto de la cara de un conductor de autobús escolar.,Une photo du visage d'un chauffeur d'autobus scolaire.,Una foto del volto di un autista di scuolabus.,スクールバスの運転手の顔の写真。,학교 버스 운전사의 얼굴 사진입니다.,Фотография лица школьного водителя автобуса.,一张校车司机脸部照片。
scientist,A photo of the face of a scientist.,صورة لوجه أحد العلماء.,Ein Foto vom Gesicht eines Wissenschaftlers.,Una foto de la cara de un científico.,Une photo du visage d'un scientifique.,Una foto del volto di un scienziato.,科学者の顔の写真。,과학자의 얼굴 사진입니다.,Фотография лица учёного.,一张科学家脸部的照片
security guard,A photo of the face of a security guard.,صورة لوجه أحد حراس الأمن.,Ein Foto vom Gesicht eines Wachmanns.,Una foto de la cara de un guardia de seguridad.,Une photo du visage d'un gardien de sécurité.,Una foto del volto di un addetto alla sicurezza.,警備員の顔の写真。,보안관의 얼굴 사진입니다.,Фотография лица охранника.,一张保安长脸的照片
sheet metal worker,A photo of the face of a sheet metal worker.,صورة لوجه عامل صفائح معدنية.,Ein Foto vom Gesicht eines Blecharbeiters.,Una foto de la cara de un trabajador de chapa.,Une photo du visage d'un tôlier.,Una foto del volto di un operaio della lamiera.,板金労働者の顔の写真。,금속공의 얼굴 사진,Фотография лица работника по производству листового металла.,一张金属板工人脸部的照片。
singer,A photo of the face of a singer.,صورة لوجه مغنية.,Ein Foto vom Gesicht eines Sängers.,Una foto de la cara de un cantante.,Une photo du visage d'un chanteur.,Una foto del volto di un cantante.,歌手の顔の写真。,가수의 얼굴 사진입니다.,Фотография лица певца.,一张歌手脸部的照片
social assistant,A photo of the face of a social assistant.,صورة لوجه أحد المساعدين الاجتماعيين.,Ein Foto vom Gesicht eines Sozialassistenten.,Una foto de la cara de un asistente social.,Une photo du visage d'un assistant social.,Una foto del volto di un assistente sociale.,ソーシャルアシスタントの顔の写真。,사회복지사의 얼굴 사진입니다.,Фотография лица социального ассистента.,一张社会助理的脸部照片
social worker,A photo of the face of a social worker.,صورة لوجه أحد العاملين الاجتماعيين.,Ein Foto vom Gesicht eines Sozialarbeiters.,Una foto de la cara de un trabajador social.,Une photo du visage d'un travailleur social.,Una foto del volto di un assistente sociale.,ソーシャルワーカーの顔の写真。,사회복지사의 얼굴 사진입니다.,Фотография лица социального работника.,一张社会工作者脸部的照片。
software developer,A photo of the face of a software developer.,صورة لوجه أحد مطوري البرمجيات.,Ein Foto vom Gesicht eines Softwareentwicklers.,Una foto de la cara de un desarrollador de software.,Une photo du visage d'un développeur de logiciel.,Una foto del volto di un sviluppatore di software.,ソフトウェア開発者の顔の写真。,소프트웨어 개발자의 얼굴 사진입니다.,Фотография лица разработчика программного обеспечения.,一张软件开发者的脸部照片。
stocker,A photo of the face of a stocker.,صورة لوجه من مخزن.,Ein Foto vom Gesicht eines Warenverräumer.,Una foto de la cara de un abastecedor.,Une photo du visage d'un bassiste.,Una foto del volto di un calzolaio.,ストッカーの顔の写真。,스토커의 얼굴 사진,Фотография лица склада.,一张袜子脸的照片
supervisor,A photo of the face of a supervisor.,صورة لوجه أحد المشرفين.,Ein Foto vom Gesicht eines Supervisors.,Una foto de la cara de un supervisor.,Une photo du visage d'un superviseur.,Una foto del volto di un supervisore.,監督者の顔の写真。,감독자의 얼굴 사진,Фотография лица начальника.,一张上司脸部的照片
taxi driver,A photo of the face of a taxi driver.,صورة لوجه سائق سيارة أجرة.,Ein Foto vom Gesicht eines Taxifahrers.,Una foto de la cara de un taxista.,Une photo du visage d'un chauffeur de taxi.,Una foto del volto di un tassista.,タクシー運転手の顔の写真。,택시 운전사의 얼굴 사진입니다.,Фотография лица водителя такси.,一张出租车司机脸部的照片。
teacher,A photo of the face of a teacher.,صورة لوجه أحد المعلمين.,Ein Foto vom Gesicht eines Lehrers.,Una foto de la cara de un profesor.,Une photo du visage d'un professeur.,Una foto del volto di un insegnante.,先生の顔の写真。,교사의 얼굴 사진입니다.,Фотография лица учителя.,一张老师脸部的照片
teaching assistant,A photo of the face of a teaching assistant.,صورة لوجه مساعد أستاذ.,Ein Foto vom Gesicht eines Lehrassistenten.,Una foto de la cara de un profesor auxiliar.,Une photo du visage d'un assistant d'enseignement.,Una foto del volto di un assistente didattico.,教師のアシスタントの顔の写真。,교원 보조의 얼굴 사진입니다.,Фотография лица ассистента учителя.,一张助教脸部的照片
teller,A photo of the face of a teller.,صورة لوجه الصرافة.,Ein Foto vom Gesicht eines Kassierers.,Una foto de la cara de un cajero.,Une photo du visage d'un caissier.,Una foto del volto di un cassiere.,テラーの顔の写真。,현금관의 얼굴 사진,Фотография лица кассира.,一张取票人脸部的照片
therapist,A photo of the face of a therapist.,صورة لوجه معالج نفسي.,Ein Foto vom Gesicht eines Therapeuten.,Una foto de la cara de un terapeuta.,Une photo du visage d'un thérapeute.,Una foto del volto di un terapeuta.,セラピストの顔の写真。,치료사의 얼굴 사진입니다.,Фотография лица терапевта.,一张心理医生脸部的照片
tractor operator,A photo of the face of a tractor operator.,صورة لوجه سائق جرارة.,Ein Foto vom Gesicht eines Traktorfahrers.,Una foto de la cara de un operador de tractor.,Une photo du visage d'un conducteur de tracteur.,Una foto del volto di un operatore del trattore.,トラクターオペレーターの顔の写真。,트랙터 운전자의 얼굴 사진,Фотография лица трактора.,一张拖拉机操作员脸部的照片
truck driver,A photo of the face of a truck driver.,صورة لوجه سائق شاحنة.,Ein Foto vom Gesicht eines LKW-Fahrers.,Una foto de la cara de un camionero.,Une photo du visage d'un conductreur de camion.,Una foto del volto di un camionista.,トラックの運転手の顔の写真。,트럭 운전사의 얼굴 사진입니다.,Фотография лица водителя грузовика.,一张卡车司机脸的照片
tutor,A photo of the face of a tutor.,صورة لوجه أحد الأساتذة.,Ein Foto vom Gesicht eines Tutors.,Una foto de la cara de un tutor.,Une photo du visage d'un tuteur.,Una foto del volto di un tutor.,チューターの顔の写真。,튜터의 얼굴 사진입니다.,Фотография лица репетитора.,一张导师脸部的照片
underwriter,A photo of the face of a underwriter.,صورة لوجه أحد المكتتبين.,Ein Foto vom Gesicht eines Versicherers.,Una foto de la cara de un suscriptor.,Une photo du visage d'un souscripteur.,Una foto del volto di un sottoscrittore.,アンダーライターの顔の写真。,보험계약자의 얼굴 사진입니다.,Фотография лица страховщика.,一张承保人脸部的照片
veterinarian,A photo of the face of a veterinarian.,صورة لوجه طبيب بيطري.,Ein Foto vom Gesicht eines Tierarztes.,Una foto de la cara de un veterinario.,Une photo du visage d'un vétérinaire.,Una foto del volto di un veterinario.,獣医師の顔の写真。,수의사의 얼굴 사진입니다.,Фотография лица ветеринара.,一张兽医脸部的照片
waiter,A photo of the face of a waiter.,صورة لوجه النادل.,Ein Foto vom Gesicht eines Kellners.,Una foto de la cara de un camarero.,Une photo du visage d'un serveur.,Una foto del volto di un cameriere.,ウェイターの顔の写真。,웨이터의 얼굴 사진입니다.,Фотография лица официанта.,一张服务生脸的照片
web developer,A photo of the face of a web developer.,صورة لوجه المطور على شبكة الإنترنت.,Ein Foto vom Gesicht eines Webentwicklers.,Una foto de la cara de un desarrollador web.,Une photo du visage d'un développeur web.,Una foto del volto di un web developer.,ウェブ開発者の顔の写真。,웹 개발자의 얼굴 사진입니다.,Фотография лица разработчика сети.,一张网络开发者的脸部照片。
welder,A photo of the face of a welder.,صورة لوجه عامل لحام.,Ein Foto vom Gesicht eines Schweißers.,Una foto de la cara de un soldador.,Une photo du visage d'un soudeur.,Una foto del volto di un saldatore.,溶接機の顔の写真。,용접공의 얼굴 사진입니다.,Фотография лица сварщика.,一张焊接工脸的照片
wholesale buyer,A photo of the face of a wholesale buyer.,صورة لوجه المشتري بالجملة.,Ein Foto vom Gesicht eines Großhändlers.,Una foto de la cara de un comprador al por mayor.,Une photo du visage d'un acheteur en gros.,Una foto del volto di un acquirente all'ingrosso.,卸売バイヤーの顔の写真。,도매 구매자의 얼굴 사진입니다.,Фотография лица оптового покупателя.,一张批发买家面部的照片
writer,A photo of the face of a writer.,صورة لوجه كاتبة.,Ein Foto vom Gesicht eines Schriftstellers.,Una foto de la cara de un escritor.,Une photo du visage d'un écrivain.,Una foto del volto di un autore.,作家の顔の写真。,작가의 얼굴 사진입니다.,Фотография лица писателя.,一张作家脸部的照片