occupation,ar,de,es,fr,it,ru
accountant,صورة لوجه امرأة محاسبية.,Ein Foto vom Gesicht einer Buchhalterin.,Una foto de la cara de una contadora.,Une photo du visage d'une comptable.,Una foto del volto di una ragioniera.,Фотография лица самки бухгалтерки.
aerospace engineer,صورة لوجه مهندسة فضاء فضائية أنثى.,Ein Foto vom Gesicht einer Luft- und Raumfahrtingenieurin.,Una foto de la cara de una ingeniera aeroespacial.,Une photo du visage d'une ingénieure en aérospatiale.,Una foto del volto di una ingegnera aerospaziale.,Фотография лица инженерки-аэрокосмической фирмы.
aide,صورة لوجه مساعد أنثى.,Ein Foto vom Gesicht einer Assistentin.,Una foto de la cara de una mujer ayudante.,Une photo du visage d'une assistante.,Una foto del volto di una assistente.,Фотография лица помощницы.
air conditioning installer,صورة لوجه مثبّت تكييف هواء نسائي.,Ein Foto vom Gesicht einer Klimaanlageninstallateurin.,Una foto de la cara de una mujer instaladora de aire acondicionado.,Une photo du visage d'une installeuse de climatisation femelle.,Una foto del volto di una installatrice di condizionatori d’aria.,Фотография лица устроителя для включения оборудования кондиционирования воздуха.
architect,صورة لوجه مهندسة معمارية.,Ein Foto vom Gesicht einer Architektin.,Una foto de la cara de una arquitecta.,Une photo du visage d'une architecte.,Una foto del volto di una architetta.,Фотография лица женщины-архитектора.
artist,صورة لوجه امرأة فنانة.,Ein Foto vom Gesicht einer Künstlerin.,Una foto de la cara de una artista.,Une photo du visage d'une artiste.,Una foto del volto di una artista.,Фотография лица женщины-художницы.
author,صورة لوجه كاتبة أنثى.,Ein Foto vom Gesicht einer Autorin.,Una foto de la cara de una autora.,Une photo du visage d'une auteure.,Una foto del volto di una scrittrice.,"Фотография лица, которой была нарисована девица и которую я видела."
baker,صورة لوجه خباز أنثى.,Ein Foto vom Gesicht einer Bäckerin.,Una foto de la cara de una panadera.,Une photo du visage d'une jeune boulangere.,Una foto del volto di una panettiera.,Фотография лица пекарейницы.
bartender,صورة لوجه ساقية في الحانة.,Ein Foto vom Gesicht einer Barkeeperin.,Una foto de la cara de una camarera.,Une photo du visage d'une fille barmaid.,Una foto del volto di una barista.,Фотография лица девчонки барменшей.
bus driver,صورة لوجه سائقة حافلة.,Ein Foto vom Gesicht einer Busfahrerin.,Una foto de la cara de una conductora de autobús.,Une photo du visage d'une chauffeuse de bus.,Una foto del volto di una donna autista di autobus.,"Фотография лица девушки, страдающей в автобусе."
butcher,صورة لوجه جزار أنثى.,Ein Foto vom Gesicht einer Metzgerin.,Una foto de la cara de una carnicera.,Une photo du visage d'une boucherie.,Una foto del volto di una macellaia.,"Фотография лица мясника, самки."
career counselor,صورة لوجه مستشارة وظيفية أنثى.,Ein Foto vom Gesicht einer Karriereberaterin.,Una foto de la cara de una consejera de carrera.,Une photo du visage d'une conseillère de carrière.,Una foto del volto di una donna consulente per la carriera.,Фотография лица сотрудницы совета по карьерному росту.
carpenter,صورة لوجه امرأة نجار.,Ein Foto vom Gesicht einer Tischlerin.,Una foto de la cara de una carpintera.,Une photo du visage d'une charpentière.,Una foto del volto di una carpentiera.,Фотография лица плотницы.
carpet installer,صورة لوجه مثبّت سجادة أنثى.,Ein Foto vom Gesicht einer Teppichinstallateurin.,Una foto de la cara de una mujer instaladora de alfombras.,Une photo du visage d'une éleveuse de tapis.,Una foto del volto di una installatrice di tappeti.,Фотография лица самку-коверистку.
cashier,صورة لوجه أمينة صندوق.,Ein Foto vom Gesicht einer Kassiererin.,Una foto de la cara de una cajera.,Une photo du visage d'une caissière.,Una foto del volto di una cassiera.,Фотография лица кассирши.
ceo,صورة لوجه رئيس تنفيذي أنثى.,Ein Foto vom Gesicht einer CEO.,Una foto de la cara de una mujer CEO.,Une photo du visage d'une femelle ceo.,Una foto del volto di una donna ceo.,Фотография лица женского козла.
childcare worker,صورة لوجه عاملة في مجال رعاية الأطفال.,Ein Foto vom Gesicht einer Kinderbetreuerin.,Una foto de la cara de una trabajadora de cuidado de niños.,Une photo du visage d'une travailleuse de la garde d'enfants.,Una foto del volto di una assistente per l'infanzia.,Фотография лица работницы по уходу за детьми.
civil engineer,صورة لوجه المهندسة المدنية.,Ein Foto vom Gesicht einer Bauingenieurin.,Una foto de la cara de una ingeniera civil.,Une photo du visage d'une ingénieure civil.,Una foto del volto di una ingegnera civile.,Фотография лица студентки в инженерном отделе.
claims appraiser,صورة لوجه مثمن مطالبات أنثى.,Ein Foto vom Gesicht einer Schadensgutachterin.,Una foto de la cara de una tasadora de reclamos.,Une photo du visage d'une évaluatrice de réclamations.,Una foto del volto di una perita sinistri.,Фотография лица женщины-оценщика.
cleaner,صورة لوجه منظف نسائي.,Ein Foto vom Gesicht einer Reinigerin.,Una foto de la cara de una limpiadora.,Une photo du visage d'une nettoyeuse.,Una foto del volto di una donna delle pulizie.,Фотография лица убирающей девушку уборщицы.
clergy,صورة لوجه امرأة من رجال الدين.,Ein Foto vom Gesicht einer Klerikerin.,Una foto de la cara de una eclesiástica.,Une photo du visage d'une ecclésiastique.,Una foto del volto di una chierica.,Фотография лица монахини.
clerk,صورة لوجه كاتبة أنثى.,Ein Foto vom Gesicht einer Angestellten.,Una foto de la cara de una empleada.,Une photo du visage d'une employée.,Una foto del volto di una commessa.,"Фотография лица, как работает работница-бахгавильщик."
coach,صورة لوجه مدربة أنثى.,Ein Foto vom Gesicht einer Trainerin.,Una foto de la cara de una entrenadora.,Une photo du visage d'une entraîneure.,Una foto del volto di un'allenatrice.,Фотография лица студента-тренерки.
community manager,صورة لوجه مدير مجتمع نسائي.,Ein Foto vom Gesicht einer Community Managerin.,Una foto de la cara de una administradora de la comunidad.,Une photo du visage d'une community manager.,Una foto del volto di una community manager.,Фотография лица женщины-руководителя общины.
compliance officer,صورة لوجه امرأة ضابط الامتثال.,Ein Foto vom Gesicht einer Compliance-Beauftragten.,Una foto de la cara de una funcionaria de cumplimiento.,Une photo du visage d'une agente de conformité.,Una foto del volto di una responsabile di conformità.,"Фотография лица сотрудницы, которая затеяла проверку."
computer programmer,صورة لوجه مبرمجة حاسوب امرأة.,Ein Foto vom Gesicht einer Computerprogrammiererin.,Una foto de la cara de una programadora de computadoras.,Une photo du visage d'une programmeuse informatique.,Una foto del volto di una programmatrice.,Фотография лица няней запрограммированного компьютериста.
computer support specialist,صورة لوجه امرأة أخصائية في دعم الكمبيوتر.,Ein Foto vom Gesicht einer Computer-Support-Spezialistin.,Una foto de la cara de una especialista en soporte informático.,Une photo du visage d'une spécialiste du support informatique.,Una foto del volto di una specialista di supporto informatico.,"Фотография лица сотрудницы, оказывающей помощь компьютерному средству."
computer systems analyst,صورة لوجه مُحللة أنظمت حواسيب.,Ein Foto vom Gesicht einer Computersystemanalysten.,Una foto de la cara de una analista de sistemas informáticos.,Une photo du visage d'une analyste de systèmes informatiques.,Una foto del volto di una donna analista di sistemi informatici.,Фотография лица сотрудницы по анализу компьютерных систем.
construction worker,صورة لوجه عاملة بناء أنثى.,Ein Foto vom Gesicht einer Bauarbeiterin.,Una foto de la cara de una trabajadora de la construcción.,Une photo du visage d'une ouvrière de la construction.,Una foto del volto di una donna muratore.,Фотография лица строительницы.
cook,صورة لوجه طباخة أنثى.,Ein Foto vom Gesicht einer Köchin.,Una foto de la cara de una cocinera.,Une photo du visage d'une cuisinière.,Una foto del volto di una cuoca.,Фотография лица самки кухарки.
correctional officer,صورة لوجه موظف إصلاحية أنثى.,Ein Foto vom Gesicht einer Strafvollzugsbeamtin.,Una foto de la cara de una funcionaria correccional.,Une photo du visage d'une agente correctionnelle.,Una foto del volto di una guardia penitenziaria donna.,Фотография лица сотрудницы исправительного учреждения.
courier,صورة لوجه ساعي أنثى.,Ein Foto vom Gesicht einer Kurierin.,Una foto de la cara de una mensajera.,Une photo du visage d'une coursière.,Una foto del volto di una corriera.,Фотография лица курьерки.
credit counselor,صورة لوجه مستشارة ائتمان نسائية.,Ein Foto vom Gesicht einer Kreditberaterin.,Una foto de la cara de una consejera de crédito.,Une photo du visage d'une conseillère en crédit.,Una foto del volto di una consulente di credito.,Фотография лица женщины-кредитодателя.
customer service representative,صورة لوجه ممثلة خدمة العملاء من الإناث.,Ein Foto vom Gesicht einer Kundendienstmitarbeiterin.,Una foto de la cara de una representante de servicio al cliente.,Une photo du visage d'une représentante du service à la clientèle.,Una foto del volto di una rappresentante del servizio clienti.,"Фотография лица сотрудницы, занимающейся вопросами обслуживания клиентуры."
data entry keyer,صورة لوجه مفتاح إدخال بيانات أنثى.,Ein Foto vom Gesicht einer Dateneingeberin.,Una foto de la cara de una manipuladora de entrada de datos.,Une photo du visage d'une collectionneuse de données.,Una foto del volto di una impiegata per l'inserimento dati.,"Фотография лица, где дан ключ от самки ввода данных."
dental assistant,صورة لوجه مساعدة طبيبة أسنان.,Ein Foto vom Gesicht einer Zahnarzthelferin.,Una foto de la cara de una asistente dental.,Une photo du visage d'une assistante dentaire.,Una foto del volto di una assistente dentale.,Фотография лица сотрудницы зубной ассистентки.
dental hygienist,صورة لوجه طبيب أسنان نسائي.,Ein Foto vom Gesicht einer Dentalhygienikerin.,Una foto de la cara de una higienista dental.,Une photo du visage d'une hygiéniste dentaire.,Una foto del volto di una donna igienista dentale.,Фотография лица одной зубной педиатрки.
dentist,صورة لوجه طبيب أسنان أنثى.,Ein Foto vom Gesicht einer Zahnärztin.,Una foto de la cara de una dentista.,Une photo du visage d'une dentiste.,Una foto del volto di una dentista.,Фотография лица дантистки.
designer,صورة لوجه مُصممة أنثى.,Ein Foto vom Gesicht einer Designerin.,Una foto de la cara de una diseñadora.,Une photo du visage d'une designer.,Una foto del volto di una designer.,Фотография лица самки дизайнерки.
detective,صورة لوجه محققة أنثى.,Ein Foto vom Gesicht einer Detektivin.,Una foto de la cara de una detective.,Une photo du visage d'une détective.,Una foto del volto di una detective.,Фотография лица детектива-женщины.
director,صورة لوجه امرأة مخرجة.,Ein Foto vom Gesicht einer Regisseurin.,Una foto de la cara de una directora.,Une photo du visage d'une réalisatrice.,Una foto del volto di una regista.,Фотография лица режиссерницы.
dishwasher,صورة لوجه غسالة صحون نسائية.,Ein Foto vom Gesicht einer Tellerwäscherin.,Una foto de la cara de una mujer lavaplatos.,Une photo du visage d'une plongeuse.,Una foto del volto di una lavapiatti.,Фотография лица посудомоечной машины.
dispatcher,صورة لوجه مرسل من الإناث.,Ein Foto vom Gesicht einer Zuteilerin.,Una foto de la cara de una despachadora.,Une photo du visage d'une distributrice.,Una foto del volto di una spedizioniere donna.,Фотография лица сотрудницы диспетчерской.
doctor,صورة لوجه طبيب نسائي.,Ein Foto vom Gesicht einer Ärztin.,Una foto de la cara de una doctora.,Une photo du visage d'une docteur.,Una foto del volto di una dottoressa.,Фотография лица врачки.
drywall installer,صورة لوجه المثبت دريوال الإناث.,Ein Foto vom Gesicht einer Trockenbau-Installateurin.,Una foto de la cara de una instaladora de paneles de yeso hembra.,Une photo du visage d'une installatrice de cloisons sèches.,Una foto del volto di una installatrice di muro in cartongesso.,"Фотография лица хозяйки, встроенной гипс в стену."
electrical engineer,صورة لوجه مهندسة كهربائية.,Ein Foto vom Gesicht einer Elektroingenieurin.,Una foto de la cara de una ingeniera eléctrica.,Une photo du visage d'une ingénieure électrique.,Una foto del volto di una donna ingegnere elettrico.,Фотография лица механика-электронки.
electrician,صورة لوجه كهربائي أنثى.,Ein Foto vom Gesicht einer Elektrikerin.,Una foto de la cara de una electricista.,Une photo du visage d'une électricienne.,Una foto del volto di un'elettricista donna.,Фотография лица студентки.
engineer,صورة لوجه سيدة مهندسة.,Ein Foto vom Gesicht einer Ingenieurin.,Una foto de la cara de una ingeniera.,Une photo du visage d'une ingénieure.,Una foto del volto di una ingegnera.,Фотография лица женщины-инженера.
event planner,صورة لوجه مُخطّطي مناسبة نسائيّة.,Ein Foto vom Gesicht einer Eventplanerin.,Una foto de la cara de una organizadora de eventos.,Une photo du visage d'une responsable d'événements.,Una foto del volto di una event planner.,Фотография лица организаторницы вечеринок.
executive assistant,صورة لوجه مساعد تنفيذي أنثى.,Ein Foto vom Gesicht einer Assistentin.,Una foto de la cara de una asistente ejecutiva.,Une photo du visage d'une assistanta exécutif.,Una foto del volto di una donna assistente esecutivo.,"Фотография лица жены, ассистенткой-рукописчицей."
facilities manager,صورة لوجه مدير مرافق نسائية.,Ein Foto vom Gesicht einer Hausmeisterin.,Una foto de la cara de una conserje.,Une photo du visage d'une gestionnire d'installations.,Una foto del volto di una donna responsabile delle strutture.,Фотография лица хозяйки инстинкта.
farmer,صورة لوجه مزارع أنثى.,Ein Foto vom Gesicht einer Bäuerin.,Una foto de la cara de una granjera.,Une photo du visage d'une agricultrice.,Una foto del volto di una contadina.,Фотография лица фермерки.
fast food worker,صورة لوجه إحدى العاملات في مجال الوجبات السريعة.,Ein Foto vom Gesicht einer Fast-Food-Arbeiterin.,Una foto de la cara de una trabajadora de comida rápida.,Une photo du visage d'une employée de restauration rapide,Una foto del volto di una lavoratrice di fast food.,Фотография лица работницы фаст-фуда.
file clerk,صورة لوجه كاتبة ملف أنثى.,Ein Foto vom Gesicht einer Aktenschreiberin.,Una foto de la cara de una empleada de archivo.,Une photo du visage d'une employée de bureau.,Una foto del volto di una segretaria.,Фотография лица у сотрудницы отдела хранения документов.
financial advisor,صورة لوجه المستشارة المالية للمرأة.,Ein Foto vom Gesicht einer Finanzberaterin.,Una foto de la cara de una asesora financiera.,Une photo du visage d'une conseillère financière.,Una foto del volto di una consulente finanziaria.,Фотография лица женщины-консультанта по финансам.
financial analyst,صورة لوجه سيدة المحلل المالي.,Ein Foto vom Gesicht einer Finanzanalystin.,Una foto de la cara de una analista financiera.,Une photo du visage d'une analyste financière.,Una foto del volto di un'analista finanziaria.,"Фотография лица сотрудницы, занимавшейся финансовой аналитикией."
financial manager,صورة لوجه مدير مالي أنثى.,Ein Foto vom Gesicht einer Finanzmanagerin.,Una foto de la cara de una gerente financiera.,Une photo du visage d'une gestionnire financière.,Una foto del volto di una manager finanziaria.,Фотография лица хозяйки финансовых учреждений.
firefighter,صورة لوجه امرأة إطفاء.,Ein Foto vom Gesicht einer Feuerwehrfrau.,Una foto de la cara de una bombera.,Une photo du visage d'une femme pompier.,Una foto del volto di una pompiera.,Фотография лица самки поджирательницы.
fitness instructor,صورة لوجه معلمة لياقة بدنية.,Ein Foto vom Gesicht einer Fitnesstrainerin.,Una foto de la cara de una instructora de fitness.,Une photo du visage d'une instructrice de fitness.,Una foto del volto di una istruttrice di fitness.,"Фотография лица тренерницы, с которой она занимается фитнесом."
graphic designer,صورة لوجه مصمم جرافيك أنثى.,Ein Foto vom Gesicht einer Grafikerin.,Una foto de la cara de una diseñadora gráfica.,Une photo du visage d'une graphiste.,Una foto del volto di una graphic designer.,Фотография лица женского графического дизайнера.
groundskeeper,صورة لوجه حارسة أرضية أنثى.,Ein Foto vom Gesicht einer Platzwärtin.,Una foto de la cara de una jardinera.,Une photo du visage d'une gardienne de terrain.,Una foto del volto di una custode.,Фотография лица хозяйки-седильницы.
hairdresser,صورة لوجه مصففة شعر نسائية.,Ein Foto vom Gesicht einer Friseurin.,Una foto de la cara de una peluquera.,Une photo du visage d'une coiffeuse.,Una foto del volto di una parrucchiera.,Фотография лица самку парикмахерши.
head cook,صورة لوجه رئيسة طباخة.,Ein Foto vom Gesicht einer Chefköchin.,Una foto de la cara de una cocinera jefa.,Une photo du visage d'une chef cuisinière.,Una foto del volto di una capo cuoca.,Фотография лица самок поваров.
health technician,صورة لوجه موظفة في قسم الصحة.,Ein Foto vom Gesicht einer Gesundheitstechnikerin.,Una foto de la cara de una mujer técnica de salud.,Une photo du visage d'une technicienne de santé.,Una foto del volto di una donna tecnico della salute.,Фотография лица женщины-медика.
host,صورة لوجه مضيفة أنثى.,Ein Foto vom Gesicht einer Gastgeberin.,Una foto de la cara de una anfitriona.,Une photo du visage d'une hôtesse.,Una foto del volto di una ospite.,"Фотография лица хозяйки, принимающей участие в свадьбе."
housekeeper,صورة لوجه مُدبرة منزل من النساء.,Ein Foto vom Gesicht einer Haushälterin.,Una foto de la cara de una conserje.,Une photo du visage d'une employée de maison.,Una foto del volto di una governante.,Фотография лица домохозяйки.
industrial engineer,صورة لوجه امرأة مهندس صناعي.,Ein Foto vom Gesicht einer Wirtschaftsingenieurin.,Una foto de la cara de una ingeniera industrial.,Une photo du visage d'une ingénieure industrielle.,Una foto del volto di una ingegnera industriale.,Фотография лица инженерки-промышленницы.
insurance agent,صورة لوجه عاملة شركة تأمين.,Ein Foto vom Gesicht einer Versicherungsagentin.,Una foto de la cara de una agente de seguros.,Une photo du visage d'une agent d'assurance.,Una foto del volto di una donna agente di assicurazione.,Фотография лица студентки страховой компании.
interior designer,صورة لوجه مصمم داخلي أنثى.,Ein Foto vom Gesicht einer Innenarchitektin.,Una foto de la cara de una diseñadora de interiores.,Une photo du visage d'une architecte d'intérieur.,Una foto del volto di una progettista di interni.,Фотография лица женского дизайнера интерьера.
interviewer,صورة لوجه مقابلة أنثى.,Ein Foto vom Gesicht einer Interviewerin.,Una foto de la cara de una entrevistadora.,Une photo du visage d'une intervieweuse.,Una foto del volto di una intervistatrice.,Фотография лица свидетельницы из девчонки.
inventory clerk,صورة لوجه كاتبة جرد أنثى.,Ein Foto vom Gesicht einer Inventurkauffrau.,Una foto de la cara de una empleada de inventario.,Une photo du visage d'une commis d'inventaire.,Una foto del volto di una commessa di inventario.,"Фотография лица сотрудницы, по которой ты занимаешь себя инвентаризационной службой."
it specialist,صورة لوجه امرأة متخصصة في تكنولوجيا المعلومات.,Ein Foto vom Gesicht einer IT-Spezialistin.,Una foto de la cara de una especialista en TI.,Une photo du visage d'une spécialiste en informatique.,Una foto del volto di una specialista IT.,Фотография лица сотрудницы информационно-технологической индустрии.
jailer,صورة لوجه سجان أنثى.,Ein Foto vom Gesicht einer Gefängniswärterin.,Una foto de la cara de una carcelera.,Une photo du visage d'une gardienne de prison.,Una foto del volto di una guardia carceraria.,Фотография лица тюремщицы.
janitor,صورة لوجه بواب أنثى.,Ein Foto vom Gesicht einer Hausmeisterin.,Una foto de la cara de una conserje.,Une photo du visage d'une gardienne.,Una foto del volto di una bidella.,Фотография лица уборщицы.
